# Data collection last updated: 2026-03-03 09:22:49
# Summary: weather=3644
[weather]
id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
1,2026-03-01 06:30:00,28.46,80.0,800.0,3.6,openweather,28.58,2.56
2,2026-02-28 23:00:00,36.17,38.93,0.0,3.44,openweather,24.98,0.00
3,2026-02-28 22:00:00,33.9,47.42,0.0,5.83,openweather,121.18,0.00
4,2026-02-28 21:00:00,32.57,49.39,0.0,2.54,openweather,10.09,0.00
5,2026-02-28 20:00:00,33.89,46.52,0.0,7.89,openweather,301.16,0.00
6,2026-02-28 19:00:00,33.22,38.91,0.0,5.67,openweather,111.79,0.00
7,2026-02-28 18:00:00,32.64,35.71,90.63,11.31,openweather,884.96,0.73
8,2026-02-28 17:00:00,33.71,37.86,188.81,1.15,openweather,0.94,1.51
9,2026-02-28 16:00:00,30.87,40.34,279.91,4.04,openweather,40.44,2.24
10,2026-02-28 15:00:00,30.04,44.34,338.34,11.31,openweather,887.03,2.71
11,2026-02-28 14:00:00,32.34,48.34,609.32,6.05,openweather,135.74,4.88
12,2026-02-28 13:00:00,32.13,54.14,260.64,0.0,openweather,0.00,2.09
13,2026-02-28 12:00:00,29.75,44.52,394.02,6.6,openweather,175.83,3.15
14,2026-02-28 11:00:00,30.98,57.8,707.4,11.72,openweather,986.62,5.66
15,2026-02-28 10:00:00,27.26,60.33,235.0,4.14,openweather,43.34,1.88
16,2026-02-28 09:00:00,29.06,42.18,337.43,2.75,openweather,12.77,2.70
17,2026-02-28 08:00:00,29.04,61.32,186.67,6.75,openweather,188.70,1.49
18,2026-02-28 07:00:00,26.85,64.54,108.61,4.08,openweather,41.48,0.87
19,2026-02-28 06:00:00,27.0,62.1,47.01,4.14,openweather,43.48,0.38
20,2026-02-28 05:00:00,25.8,64.68,0.0,8.02,openweather,315.45,0.00
21,2026-02-28 04:00:00,25.48,60.57,0.0,9.44,openweather,515.40,0.00
22,2026-02-28 03:00:00,25.45,58.37,0.0,0.98,openweather,0.57,0.00
23,2026-02-28 02:00:00,25.95,64.96,0.0,6.01,openweather,132.71,0.00
24,2026-02-28 01:00:00,23.7,63.88,0.0,7.59,openweather,268.15,0.00
25,2026-02-28 00:00:00,26.37,66.76,0.0,3.18,openweather,19.76,0.00
26,2026-02-27 23:00:00,33.5,43.68,0.0,11.82,openweather,1010.56,0.00
27,2026-02-27 22:00:00,32.69,41.62,0.0,2.87,openweather,14.50,0.00
28,2026-02-27 21:00:00,33.64,33.14,0.0,5.67,openweather,111.69,0.00
29,2026-02-27 20:00:00,31.77,40.0,0.0,1.1,openweather,0.81,0.00
30,2026-02-27 19:00:00,33.76,51.18,0.0,10.41,openweather,690.76,0.00
31,2026-02-27 18:00:00,28.46,80.0,800.0,3.6,openweather,28.58,2.56
32,2026-02-27 17:00:00,30.2,56.37,167.65,12.0,openweather,1058.03,1.34
33,2026-02-27 16:00:00,31.02,48.25,142.05,12.06,openweather,1075.23,1.14
34,2026-02-27 15:00:00,32.0,42.78,413.75,0.94,openweather,0.51,3.31
35,2026-02-27 14:00:00,29.23,42.21,452.12,7.85,openweather,296.14,3.62
36,2026-02-27 13:00:00,30.0,54.82,362.98,9.79,openweather,575.51,2.90
37,2026-02-27 12:00:00,31.12,47.44,533.01,4.55,openweather,57.66,4.26
38,2026-02-27 11:00:00,29.33,55.14,272.09,10.68,openweather,746.27,2.18
39,2026-02-27 10:00:00,29.04,58.24,561.18,4.77,openweather,66.50,4.49
40,2026-02-27 09:00:00,28.8,61.55,220.25,0.07,openweather,0.00,1.76
41,2026-02-27 08:00:00,28.56,61.57,247.81,9.31,openweather,493.48,1.98
42,2026-02-27 07:00:00,28.26,56.77,145.32,0.0,openweather,0.00,1.16
43,2026-02-27 06:00:00,28.34,60.15,78.64,9.86,openweather,587.91,0.63
44,2026-02-27 05:00:00,28.55,51.18,0.0,4.3,openweather,48.79,0.00
45,2026-02-27 04:00:00,26.6,60.67,0.0,1.0,openweather,0.61,0.00
46,2026-02-27 03:00:00,24.06,64.73,0.0,9.87,openweather,588.24,0.00
47,2026-02-27 02:00:00,27.06,60.73,0.0,8.37,openweather,359.48,0.00
48,2026-02-27 01:00:00,26.39,56.06,0.0,8.37,openweather,359.24,0.00
49,2026-02-27 00:00:00,23.56,67.61,0.0,9.12,openweather,465.05,0.00
50,2026-02-26 23:00:00,32.61,35.99,0.0,6.77,openweather,190.33,0.00
51,2026-02-26 22:00:00,35.61,42.33,0.0,6.46,openweather,164.80,0.00
52,2026-02-26 21:00:00,33.76,46.17,0.0,4.93,openweather,73.56,0.00
53,2026-02-26 20:00:00,32.19,51.52,0.0,8.87,openweather,426.96,0.00
54,2026-02-26 19:00:00,31.37,51.7,0.0,6.66,openweather,180.63,0.00
55,2026-02-26 18:00:00,32.68,52.78,118.95,5.87,openweather,124.06,0.95
56,2026-02-26 17:00:00,30.65,54.7,171.52,6.63,openweather,178.31,1.37
57,2026-02-26 16:00:00,29.66,51.16,265.2,5.65,openweather,110.72,2.12
58,2026-02-26 15:00:00,31.47,53.14,462.75,2.39,openweather,8.38,3.70
59,2026-02-26 14:00:00,31.21,53.02,483.1,5.97,openweather,130.64,3.87
60,2026-02-26 13:00:00,28.63,54.57,466.97,6.98,openweather,208.24,3.74
61,2026-02-26 12:00:00,28.46,80.0,800.0,3.6,openweather,28.58,2.56
62,2026-02-26 11:00:00,29.05,58.72,510.39,4.39,openweather,51.78,4.08
63,2026-02-26 10:00:00,28.94,53.63,306.7,6.86,openweather,197.98,2.45
64,2026-02-26 09:00:00,27.88,57.76,361.6,9.01,openweather,448.07,2.89
65,2026-02-26 08:00:00,28.5,58.2,317.16,6.28,openweather,151.67,2.54
66,2026-02-26 07:00:00,25.47,55.26,115.63,8.85,openweather,424.60,0.93
67,2026-02-26 06:00:00,26.94,48.51,14.94,7.3,openweather,238.66,0.12
68,2026-02-26 05:00:00,25.11,65.16,0.0,7.44,openweather,252.48,0.00
69,2026-02-26 04:00:00,28.08,56.72,0.0,6.35,openweather,157.03,0.00
70,2026-02-26 03:00:00,25.4,56.52,0.0,9.57,openweather,537.03,0.00
71,2026-02-26 02:00:00,27.0,60.56,0.0,1.02,openweather,0.66,0.00
72,2026-02-26 01:00:00,26.28,67.34,0.0,8.61,openweather,390.73,0.00
73,2026-02-26 00:00:00,24.93,67.19,0.0,7.11,openweather,220.40,0.00
74,2026-02-25 23:00:00,32.57,36.66,0.0,7.52,openweather,260.91,0.00
75,2026-02-25 22:00:00,34.61,45.25,0.0,3.53,openweather,26.99,0.00
76,2026-02-25 21:00:00,31.39,42.36,0.0,10.57,openweather,722.46,0.00
77,2026-02-25 20:00:00,32.81,37.45,0.0,0.84,openweather,0.36,0.00
78,2026-02-25 19:00:00,33.2,48.44,0.0,8.09,openweather,324.52,0.00
79,2026-02-25 18:00:00,30.05,42.84,138.7,4.84,openweather,69.43,1.11
80,2026-02-25 17:00:00,31.74,44.16,174.97,9.11,openweather,463.44,1.40
81,2026-02-25 16:00:00,30.75,40.27,109.73,10.74,openweather,759.12,0.88
82,2026-02-25 15:00:00,30.51,53.49,254.67,6.62,openweather,177.30,2.04
83,2026-02-25 14:00:00,29.06,58.09,416.93,0.0,openweather,0.00,3.34
84,2026-02-25 13:00:00,30.08,40.94,416.08,5.85,openweather,122.52,3.33
85,2026-02-25 12:00:00,30.96,47.98,629.39,1.02,openweather,0.65,5.04
86,2026-02-25 11:00:00,28.49,62.18,367.05,0.6,openweather,0.13,2.94
87,2026-02-25 10:00:00,28.45,61.37,540.3,6.15,openweather,142.79,4.32
88,2026-02-25 09:00:00,26.36,54.87,354.95,8.05,openweather,319.33,2.84
89,2026-02-25 08:00:00,26.06,64.17,226.7,7.66,openweather,275.17,1.81
90,2026-02-25 07:00:00,26.05,60.57,162.62,10.08,openweather,627.75,1.30
91,2026-02-25 06:00:00,28.12,46.55,175.65,6.03,openweather,134.20,1.41
92,2026-02-25 05:00:00,26.89,52.34,0.0,6.13,openweather,140.85,0.00
93,2026-02-25 04:00:00,27.68,49.97,0.0,10.52,openweather,712.35,0.00
94,2026-02-25 03:00:00,24.49,58.36,0.0,2.84,openweather,14.08,0.00
95,2026-02-25 02:00:00,26.65,56.9,0.0,8.78,openweather,414.54,0.00
96,2026-02-25 01:00:00,23.56,68.57,0.0,7.97,openweather,310.07,0.00
97,2026-02-25 00:00:00,25.5,54.67,0.0,0.68,openweather,0.20,0.00
98,2026-02-24 23:00:00,33.17,50.33,0.0,3.47,openweather,25.62,0.00
99,2026-02-24 22:00:00,34.15,36.0,0.0,7.18,openweather,226.37,0.00
100,2026-02-24 21:00:00,32.3,55.11,0.0,4.76,openweather,66.13,0.00
101,2026-02-24 20:00:00,31.63,39.63,0.0,11.38,openweather,901.74,0.00
102,2026-02-24 19:00:00,30.1,59.52,0.0,5.67,openweather,111.87,0.00
103,2026-02-24 18:00:00,32.06,41.65,38.56,5.49,openweather,101.19,0.31
104,2026-02-24 17:00:00,32.37,54.07,140.46,9.4,openweather,509.39,1.12
105,2026-02-24 16:00:00,31.64,37.57,232.72,8.88,openweather,429.03,1.86
106,2026-02-24 15:00:00,30.11,45.42,352.63,0.48,openweather,0.07,2.82
107,2026-02-24 14:00:00,28.92,62.1,455.78,5.78,openweather,118.46,3.65
108,2026-02-24 13:00:00,31.32,47.19,793.49,8.08,openweather,323.24,6.35
109,2026-02-24 12:00:00,27.86,52.33,458.66,2.98,openweather,16.25,3.67
110,2026-02-24 11:00:00,29.65,43.0,247.61,0.0,openweather,0.00,1.98
111,2026-02-24 10:00:00,27.21,64.71,396.93,2.45,openweather,9.05,3.18
112,2026-02-24 09:00:00,26.18,57.15,559.22,3.36,openweather,23.20,4.47
113,2026-02-24 08:00:00,27.01,49.14,241.82,2.6,openweather,10.76,1.94
114,2026-02-24 07:00:00,26.51,59.59,183.88,1.52,openweather,2.15,1.47
115,2026-02-24 06:00:00,28.46,80.0,800.0,3.6,openweather,28.58,2.56
116,2026-02-24 05:00:00,25.58,51.51,0.0,10.08,openweather,626.40,0.00
117,2026-02-24 04:00:00,24.95,55.52,0.0,5.69,openweather,112.92,0.00
118,2026-02-24 03:00:00,26.97,46.75,0.0,10.03,openweather,618.64,0.00
119,2026-02-24 02:00:00,26.53,52.14,0.0,4.66,openweather,62.01,0.00
120,2026-02-24 01:00:00,23.7,70.57,0.0,1.85,openweather,3.85,0.00
121,2026-02-24 00:00:00,24.85,57.4,0.0,2.98,openweather,16.26,0.00
122,2026-02-23 23:00:00,32.3,37.45,0.0,7.37,openweather,245.34,0.00
