# Data collection last updated: 2026-03-12 18:57:10
# Summary: sim=9478
[sim]
id	timestamp	temperature	humidity	irradiance	wind_speed	source	wind_power_density	solar_energy_yield
1	2026-02-28 23:00:00	19.5	47.92	0.0	3.49	sim	26.04	0.00
2	2026-02-28 22:00:00	31.24	50.29	0.0	12.62	sim	1231.07	0.00
3	2026-02-28 21:00:00	25.13	58.93	0.0	14.53	sim	1878.90	0.00
4	2026-02-28 20:00:00	24.95	47.45	0.0	13.5	sim	1506.98	0.00
5	2026-02-28 19:00:00	25.5	80.01	0.0	5.12	sim	82.21	0.00
6	2026-02-28 18:00:00	28.6	65.3	197.11	11.94	sim	1042.60	1.58
7	2026-02-28 17:00:00	29.25	74.6	291.27	14.19	sim	1750.06	2.33
8	2026-02-28 16:00:00	24.71	57.57	850.25	7.77	sim	287.32	6.80
9	2026-02-28 15:00:00	26.33	81.99	975.53	5.77	sim	117.66	7.80
10	2026-02-28 14:00:00	28.58	63.75	773.9	7.34	sim	242.21	6.19
